,MONTH,SOURCE_SYS_CD,PRICE_TO_BP,BID_MARGIN_TOTAL,BID_MARGIN,BID_DISCOUNT,STOP_BIDS,BPCOPS,MISSING,COUNTRY,CONFIDENTIALITY,ROUTE_TO_MARKET,NON_COMPETITIVE_BID,OFF_SHORE_PMT_TERMS,BUNDLED_SOLUTION,CONTINGENCY_FEE,FOCUS,HW_SW,bid_id
0,4,OPRA,34236.8,1027.1035,2.91262,96.73474,0,0,1,TW,N,N,N,N,N,N,0,HW,1048200
1,9,OPRA,58588.02,6184.2853,9.54773,97.12923,0,0,0,TW,N,N,N,N,N,N,0,HW,1048640
2,6,OPRA,57095.8465,1841.8015,3.125,97.42264,0,0,0,TW,N,N,N,N,N,N,0,HW,1048404
3,9,OPRA,122709.353,5734.7869,4.46481,96.40123,0,0,0,TW,N,N,N,N,N,N,0,HW,1048630
4,9,OPRA,122709.353,5812.2884,4.52242,96.40123,0,0,0,TW,N,N,N,N,N,N,0,HW,1048642
5,8,OPRA,129564.072,21594.0055,14.28571,30.21706,0,0,0,TW,N,N,N,N,N,N,0,HW,1048583
6,9,OPRA,125313.265,21621.7708,14.71519,32.56133,0,0,0,TW,N,N,N,N,N,N,0,HW,1048631
7,9,OPRA,125313.265,30921.4445,19.79166,32.56133,0,0,0,TW,N,N,N,N,N,N,0,HW,1048673
8,4,OPRA,57175.456,14721.8236,20.47619,85.28685,0,0,0,TW,N,N,N,N,N,N,0,HW,1048252
9,4,OPRA,57175.456,14721.8236,20.47619,85.28685,0,0,0,TW,N,N,N,N,N,N,0,HW,1048263
10,11,OPRA,218033.64,17933.4788,7.59999,96.9614,0,0,0,TW,N,N,N,N,N,N,1,HW,1047852
11,6,OPRA,151478.445,4084.8111,2.62582,96.69778,0,0,0,TW,N,N,N,N,N,N,0,HW,1048364
12,7,OPRA,66497.4,4987.302,6.97674,91.54513,0,0,0,TW,N,N,N,N,N,N,0,HW,1048503
13,12,OPRA,41402.711,6645.6958,13.83125,94.81464,0,0,0,TW,N,N,N,N,N,N,0,HW,1048004
14,2,OPRA,25837.112,6894.4278,21.06356,90.13978,0,0,0,TW,Y,N,N,N,N,N,0,HW,1048105
15,3,OPRA,25837.112,6894.4278,21.06356,90.13978,0,0,0,TW,Y,N,N,N,N,N,0,HW,1048136
16,7,OPRA,66497.4,7647.2,10.3139,91.18939,0,0,0,TW,N,N,N,N,N,N,0,HW,1048485
17,4,OPRA,34236.8,7874.461,18.69918,96.49083,0,0,0,TW,N,N,N,N,N,N,0,HW,1048256
18,4,OPRA,34236.8,7874.461,18.69918,96.49083,0,0,0,TW,N,N,N,N,N,N,0,HW,1048270
19,5,OPRA,68080.2,13020.3345,16.05456,91.54513,0,0,0,TW,N,N,N,N,N,N,0,HW,1048281
20,1,OPRA,78253.0828,17518.5242,18.29198,96.28546,0,0,0,TW,N,N,N,N,N,N,0,HW,1048059
21,3,OPRA,80215.8646,17957.9324,18.29198,96.28546,0,0,0,TW,N,N,N,N,N,N,0,HW,1048162
22,3,OPRA,80215.8646,17957.9324,18.29198,96.28546,0,0,0,TW,N,N,N,N,N,N,0,HW,1048193
23,9,OPRA,354783.01,24411.6437,6.43776,97.56748,0,0,0,TW,N,N,N,N,N,N,1,HW,1048661
24,7,OPRA,315862.65,39000.6914,10.99034,97.60455,0,0,0,TW,N,N,N,N,N,N,1,HW,1048454
25,7,OPRA,315862.65,39000.6914,10.99034,97.60455,0,0,0,TW,N,N,N,N,N,N,1,HW,1048462
26,7,OPRA,315862.65,39000.6914,10.99034,97.60455,0,0,0,TW,N,N,N,N,N,N,1,HW,1048481
27,7,OPRA,315862.65,39000.6914,10.99034,97.60455,0,0,0,TW,N,N,N,N,N,N,1,HW,1048495
28,12,OPRA,226953.198,41215.5854,15.36927,83.607,0,0,0,TW,N,N,N,N,N,N,0,HW,1047921
29,7,OPRA,339203.2374,59781.1493,14.98333,93.47062,0,1,0,TW,N,N,N,N,N,N,0,HW,1048497
30,7,OPRA,331157.052,59847.6504,15.30612,93.61268,0,1,0,TW,N,N,N,N,N,N,0,HW,1048516
31,7,OPRA,331157.052,59847.6504,15.30612,93.61268,0,1,0,TW,N,N,N,N,N,N,0,HW,1048522
32,7,OPRA,324174.825,71484.6777,18.06722,93.63305,0,1,0,TW,N,N,N,N,N,N,0,HW,1048488
33,12,OPRA,755084.434,112021.1143,12.91897,97.61488,0,0,0,TW,Y,N,N,N,N,N,1,HW,1047970
34,12,OPRA,1041713.475,129591.0353,11.06382,98.54779,0,0,0,TW,Y,Y,N,N,N,N,1,HW,1047982
35,12,OPRA,1041713.475,129591.0353,11.06382,98.54779,0,0,0,TW,N,Y,N,N,N,N,1,HW,1048000
