,GEO,COUNTRY,ABS_MARGIN_MAX,ABS_MARGIN_AVG,ABS_MARGIN_SUM,SUBGROUP,predicted_subgroup
0,AP        ,IN              ,3910230,159443,34758581,XLARGE,XLARGE
1,AP        ,KR              ,3701398,63970,11770533,XLARGE,LARGE
2,AP        ,LK,349036,192876,385753,XLARGE,MEDIUM
3,AP        ,TW              ,235085,31938,3353529,LARGE,XSMALL
4,AP        ,HK              ,518952,20408,1571421,LARGE,XSMALL
5,AP        ,ID              ,493970,81709,3758618,LARGE,SMALL
6,AP        ,MY              ,278924,65105,2604194,LARGE,XSMALL
7,AP        ,SG              ,237085,33184,2256480,MEDIUM,XSMALL
8,AP        ,TH              ,249302,55783,3346956,LARGE,XSMALL
9,AP        ,MO,52054,25464,127320,SMALL,XSMALL
10,AP        ,PH              ,215822,47296,2270201,MEDIUM,XSMALL
11,AP        ,VN,38934,12156,340362,SMALL,XSMALL
12,AP        ,BD,335617,185979,1115875,MEDIUM,MEDIUM
13,AP        ,BN,18928,10106,20213,SMALL,XSMALL
14,AP        ,KH,44722,29118,58235,SMALL,XSMALL
15,AP        ,NP,1837,1837,1837,SMALL,XSMALL
16,CE        ,RU              ,944722,87983,8974296,XLARGE,SMALL
17,CE        ,CZ              ,611342,62100,4657525,LARGE,SMALL
18,CE        ,PL              ,457745,74181,9198484,LARGE,SMALL
19,CE        ,BG              ,695000,113466,1248121,MEDIUM,SMALL
20,CE        ,HR              ,375417,47540,2139293,MEDIUM,XSMALL
21,CE        ,HU              ,418874,68127,4564514,LARGE,SMALL
22,CE        ,RO              ,194652,87570,1488695,MEDIUM,XSMALL
23,CE        ,SK              ,79160,38642,309133,SMALL,XSMALL
24,CE        ,SI              ,263252,38151,2365337,MEDIUM,XSMALL
25,CE        ,UA              ,127094,69641,417846,MEDIUM,XSMALL
26,CE        ,AM,96045,96045,96045,XSMALL,XSMALL
27,CE        ,AZ              ,361157,164878,659510,XSMALL,MEDIUM
28,CE        ,LV              ,210756,32963,329627,SMALL,XSMALL
29,CE        ,LT              ,108610,15646,406789,SMALL,XSMALL
30,CE        ,UZ              ,423140,297761,2679845,LARGE,MEDIUM
31,CE        ,BY              ,16595,13652,27305,XSMALL,XSMALL
32,CE        ,BA              ,78169,16000,127996,XSMALL,XSMALL
33,CE        ,EE              ,23411,15135,30269,XSMALL,XSMALL
34,CE        ,KG              ,6403,6403,6403,XSMALL,XSMALL
35,CE        ,MD,23000,23000,23000,XSMALL,XSMALL
36,EA        ,SA              ,945984,190300,7802294,XLARGE,MEDIUM
37,EA        ,ZA              ,574256,88439,13354261,LARGE,SMALL
38,EA        ,TR              ,451393,73131,4095351,LARGE,SMALL
39,EA        ,AE              ,487434,68434,10675681,LARGE,SMALL
40,EA        ,EG              ,336342,78216,5631568,MEDIUM,SMALL
41,EA        ,KE              ,669588,266809,8804708,MEDIUM,MEDIUM
42,EA        ,KW              ,350000,50610,2479877,MEDIUM,XSMALL
43,EA        ,MA              ,122347,36151,469964,SMALL,XSMALL
44,EA        ,NG              ,652138,310045,12401805,XLARGE,MEDIUM
45,EA        ,OM              ,321485,61034,1281718,MEDIUM,XSMALL
46,EA        ,PK              ,245783,59268,4800733,MEDIUM,SMALL
47,EA        ,QA              ,1104000,135831,8557350,XLARGE,SMALL
48,EA        ,DZ              ,610070,134769,3369233,LARGE,SMALL
49,EA        ,AO              ,433985,162080,1296642,MEDIUM,MEDIUM
50,EA        ,BH              ,46209,14845,341437,SMALL,XSMALL
51,EA        ,JO              ,264113,46160,2861912,MEDIUM,XSMALL
52,EA        ,SZ,22197,20456,40912,XSMALL,XSMALL
53,EA        ,TN              ,95397,43410,303873,SMALL,XSMALL
54,EA        ,BW              ,31523,31523,31523,MEDIUM,XSMALL
55,EA        ,BF              ,44390,44390,44390,XSMALL,XSMALL
56,EA        ,ET              ,110328,95258,1143094,SMALL,XSMALL
57,EA        ,IQ              ,78624,52659,263293,SMALL,XSMALL
58,EA        ,ML              ,35731,35731,71461,XSMALL,XSMALL
59,EA        ,MZ              ,194634,175047,1225330,XSMALL,MEDIUM
60,EA        ,TZ              ,34307,21280,212800,XSMALL,XSMALL
61,EA        ,ZW              ,55085,47184,141553,SMALL,XSMALL
62,LA        ,AR              ,97000,43070,732196,MEDIUM,XSMALL
63,LA        ,BR              ,1447227,107326,15240314,XLARGE,SMALL
64,LA        ,CL              ,5137,5137,5137,MEDIUM,XSMALL
65,LA        ,CO              ,639540,57680,4383673,LARGE,SMALL
66,LA        ,MX              ,210096,26758,401370,LARGE,XSMALL
67,LA        ,EC              ,10260,10260,20520,LARGE,XSMALL
68,LA        ,PE              ,84615,30631,183785,MEDIUM,XSMALL
69,LA        ,UY              ,102000,35948,467328,MEDIUM,XSMALL
70,LA        ,VE              ,359255,213352,853407,LARGE,MEDIUM
71,LA        ,CR              ,99842,42207,337658,MEDIUM,XSMALL
72,LA        ,DO              ,36855,36855,36855,SMALL,XSMALL
73,LA        ,SV              ,227897,66621,266485,MEDIUM,XSMALL
74,LA        ,GT              ,12242,3966,31727,SMALL,XSMALL
75,LA        ,HN              ,1065,1065,1065,SMALL,XSMALL
76,LA        ,PA              ,15814,11873,35619,SMALL,XSMALL
